graph_id,gt_num_nodes,gt_num_edges,gt_density,gt_avg_clustering,gt_transitivity,gt_degree_mean,gt_degree_std,gt_in_degree_mean,gt_in_degree_std,gt_out_degree_mean,gt_out_degree_std,gt_betweenness_mean,gt_betweenness_std,gt_closeness_mean,gt_closeness_std,gt_local_clustering_mean,gt_local_clustering_std,gt_num_weakly_connected_components,gt_largest_weakly_connected_component_size,gt_num_strongly_connected_components,gt_largest_strongly_connected_component_size,gt_diameter_lcc,gt_calculated_diameter_on_lcc,gt_num_communities_louvain,gt_num_communities_lpa,pred_num_nodes,pred_num_edges,pred_density,pred_avg_clustering,pred_transitivity,pred_degree_mean,pred_degree_std,pred_in_degree_mean,pred_in_degree_std,pred_out_degree_mean,pred_out_degree_std,pred_betweenness_mean,pred_betweenness_std,pred_closeness_mean,pred_closeness_std,pred_local_clustering_mean,pred_local_clustering_std,pred_num_weakly_connected_components,pred_largest_weakly_connected_component_size,pred_num_strongly_connected_components,pred_largest_strongly_connected_component_size,pred_diameter_lcc,pred_calculated_diameter_on_lcc,pred_num_communities_louvain,pred_num_communities_lpa,diff_num_nodes,diff_num_edges,diff_density,diff_avg_clustering,diff_transitivity,diff_diameter_lcc,diff_degree_mean,diff_in_degree_mean,diff_out_degree_mean,diff_betweenness_mean,diff_closeness_mean,diff_local_clustering_mean,diff_num_communities_louvain,diff_num_communities_lpa,ks_degree_pvalue,ks_in_degree_pvalue,ks_out_degree_pvalue,ks_betweenness_pvalue,ks_closeness_pvalue,ks_local_clustering_pvalue,diff_num_wcc,diff_largest_wcc_size,diff_num_scc,diff_largest_scc_size,nmi_louvain,ari_louvain,nmi_lpa,ari_lpa,edge_jaccard
tensor(60),7,13,0.30952380952380953,0.4413533834586466,0.36363636363636365,3.7142857142857144,1.9794866372215738,1.8571428571428572,1.2453996981544782,1.8571428571428572,1.2453996981544782,0.10476190476190476,0.16719304632438822,0.4318052978767265,0.20470906532077027,0.44135338345864655,0.22685594869798806,2,6,2,6,3,True,0,-1,7,13,0.30952380952380953,0.3170329670329671,0.35,3.7142857142857144,1.749635530559413,1.8571428571428572,1.4568627181693672,1.8571428571428572,1.124858267715973,0.11428571428571428,0.1292311118582087,0.42938542938542945,0.2198014166959059,0.3170329670329671,0.14814959332798408,2,6,2,6,4,True,0,-1,0,0,0.0,-0.12432041642567954,-0.013636363636363669,1,0.0,0.0,0.0,0.009523809523809518,-0.0024198684912970503,-0.12432041642567948,0,0,0.9999609537692629,0.9999609537692629,0.9999609537692629,0.5751748251748252,0.9999609537692629,0.5751748251748252,0,0,0,0,,,,,0.7333333333333333
tensor(884),7,7,0.16666666666666666,0.0,0.0,2.0,1.4142135623730951,1.0,0.7559289460184544,1.0,0.9258200997725514,0.08095238095238096,0.11527350892295433,0.2499484642341785,0.17731095742092165,0.0,0.0,1,7,6,2,-1,True,0,-1,7,7,0.16666666666666666,0.0,0.0,2.0,0.9258200997725514,1.0,0.7559289460184544,1.0,0.5345224838248488,0.04285714285714286,0.060982135594598565,0.2148268398268398,0.182501357702454,0.0,0.0,1,7,6,2,-1,True,0,-1,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0380952380952381,-0.03512162440733868,0.0,0,0,0.9627039627039629,1.0,0.9999609537692629,0.9999609537692629,0.5751748251748252,1.0,0,0,0,0,,,,,0.5555555555555556
tensor(595),7,7,0.16666666666666666,0.07142857142857142,0.25,2.0,0.9258200997725514,1.0,0.7559289460184544,1.0,0.7559289460184544,0.042857142857142864,0.05259695722470124,0.2187950937950938,0.16991284546919927,0.07142857142857142,0.08247860988423225,1,7,7,1,-1,True,0,-1,7,8,0.19047619047619047,0.07142857142857142,0.0,2.2857142857142856,0.880630571852711,1.1428571428571428,0.6388765649999399,1.1428571428571428,0.6388765649999399,0.1285714285714286,0.12009066869446182,0.27711640211640215,0.15961777835500848,0.07142857142857142,0.08247860988423225,1,7,4,3,-1,True,0,-1,0,1,0.023809523809523808,0.0,-0.25,0,0.2857142857142856,0.1428571428571428,0.1428571428571428,0.08571428571428572,0.05832130832130836,0.0,0,0,0.9999609537692629,0.9999609537692629,0.9999609537692629,0.5751748251748252,0.9627039627039629,1.0,0,0,-3,2,,,,,0.36363636363636365
tensor(767),7,11,0.2619047619047619,0.31190476190476185,0.18181818181818182,3.142857142857143,1.7261494247992248,1.5714285714285714,0.9035079029052513,1.5714285714285714,1.4982983545287882,0.047619047619047616,0.08564812261240452,0.3465419501133787,0.1944912612302324,0.31190476190476196,0.1899695643363685,1,7,6,2,-1,True,0,-1,7,9,0.21428571428571427,0.3476190476190476,0.25,2.5714285714285716,1.4982983545287878,1.2857142857142858,1.0301575072754257,1.2857142857142858,1.1605769149479943,0.03809523809523809,0.09331389496316869,0.2875566893424036,0.21141657339438455,0.34761904761904766,0.19829202679673347,1,7,7,1,-1,True,0,-1,0,-2,-0.047619047619047644,0.035714285714285754,0.06818181818181818,0,-0.5714285714285712,-0.2857142857142856,-0.2857142857142856,-0.009523809523809525,-0.0589852607709751,0.0357142857142857,0,0,0.9999609537692629,0.9999609537692629,0.9999609537692629,0.9627039627039629,0.9627039627039629,0.9999609537692629,0,0,1,-1,,,,,0.42857142857142855
tensor(649),7,10,0.23809523809523808,0.10034013605442176,0.125,2.857142857142857,1.4568627181693672,1.4285714285714286,1.4982983545287878,1.4285714285714286,0.7284313590846836,0.05238095238095238,0.08137146424111934,0.304421768707483,0.28256893563779695,0.10034013605442176,0.17261695317250864,1,7,6,2,-1,True,0,-1,7,12,0.2857142857142857,0.17755102040816326,0.2857142857142857,3.4285714285714284,1.3997084244475304,1.7142857142857142,1.4846149779161804,1.7142857142857142,0.880630571852711,0.04761904761904762,0.040265558393542296,0.3372758194186765,0.2658168665270516,0.17755102040816326,0.18888303611700552,1,7,4,2,-1,True,0,-1,0,2,0.047619047619047616,0.0772108843537415,0.1607142857142857,0,0.5714285714285712,0.2857142857142856,0.2857142857142856,-0.004761904761904759,0.032854050711193516,0.0772108843537415,0,0,0.9627039627039629,0.9627039627039629,0.9627039627039629,0.9627039627039629,0.9627039627039629,0.9627039627039629,0,0,-2,0,,,,,0.4666666666666667
tensor(650),7,10,0.23809523809523808,0.346031746031746,0.5714285714285714,2.857142857142857,1.7261494247992246,1.4285714285714286,1.178030178747903,1.4285714285714286,1.178030178747903,0.02380952380952381,0.03868589716493315,0.26071428571428573,0.20337988761135467,0.346031746031746,0.3267837265386101,2,5,5,3,-1,True,0,-1,7,9,0.21428571428571427,0.30158730158730157,0.625,2.5714285714285716,1.498298354528788,1.2857142857142858,1.2777531299998799,1.2857142857142858,0.880630571852711,0.019047619047619046,0.03499271061118826,0.23968253968253966,0.23666235504360336,0.30158730158730157,0.28769157079987073,2,5,5,3,-1,True,0,-1,0,-1,-0.023809523809523808,-0.04444444444444445,0.0535714285714286,0,-0.2857142857142856,-0.1428571428571428,-0.1428571428571428,-0.004761904761904766,-0.021031746031746068,-0.04444444444444445,0,0,0.9999609537692629,0.9999609537692629,0.9999609537692629,0.9999609537692629,0.9999609537692629,0.9627039627039629,0,0,0,0,,,,,0.35714285714285715
tensor(865),7,8,0.19047619047619047,0.1738095238095238,0.3333333333333333,2.2857142857142856,1.4846149779161804,1.1428571428571428,1.124858267715973,1.1428571428571428,0.8329931278350429,0.03333333333333333,0.044543540318737404,0.22789115646258504,0.2186052331309617,0.17380952380952383,0.1768007449117807,2,6,5,3,-1,True,0,-1,7,8,0.19047619047619047,0.1476190476190476,0.25,2.2857142857142856,1.2777531299998799,1.1428571428571428,0.8329931278350429,1.1428571428571428,0.6388765649999399,0.05714285714285715,0.05832118435198043,0.24603174603174605,0.19814797154575672,0.1476190476190476,0.18844151368961312,2,6,4,3,-1,True,0,-1,0,0,0.0,-0.02619047619047621,-0.08333333333333331,0,0.0,0.0,0.0,0.023809523809523815,0.01814058956916101,-0.026190476190476236,0,0,0.9999609537692629,0.9999609537692629,0.9999609537692629,0.9627039627039629,0.9627039627039629,0.9999609537692629,0,0,-1,0,,,,,0.6
tensor(668),7,8,0.19047619047619047,0.0,0.0,2.2857142857142856,0.6998542122237652,1.1428571428571428,1.2453996981544782,1.1428571428571428,0.989743318610787,0.009523809523809523,0.023328473740792173,0.20317460317460317,0.21469097480714747,0.0,0.0,1,7,7,1,-1,True,0,-1,7,8,0.19047619047619047,0.10714285714285714,0.1,2.2857142857142856,1.0301575072754257,1.1428571428571428,0.8329931278350429,1.1428571428571428,1.124858267715973,0.019047619047619046,0.03140691894826885,0.21904761904761907,0.1474909838770455,0.10714285714285714,0.1708654773143729,1,7,7,1,-1,True,0,-1,0,0,0.0,0.10714285714285714,0.1,0,0.0,0.0,0.0,0.009523809523809523,0.0158730158730159,0.10714285714285714,0,0,0.9999609537692629,0.9627039627039629,0.9999609537692629,0.9999609537692629,0.9627039627039629,0.5751748251748252,0,0,0,0,,,,,0.45454545454545453
tensor(298),7,9,0.21428571428571427,0.11904761904761904,0.125,2.5714285714285716,0.49487165930539345,1.2857142857142858,0.880630571852711,1.2857142857142858,0.880630571852711,0.08095238095238096,0.07529232524210427,0.27226001511715797,0.17942980772691922,0.11904761904761904,0.17169291787923757,1,7,7,1,-1,True,0,-1,7,8,0.19047619047619047,0.0,0.0,2.2857142857142856,0.6998542122237652,1.1428571428571428,0.8329931278350429,1.1428571428571428,0.989743318610787,0.042857142857142864,0.049487165930539354,0.23484504913076343,0.16999282791972134,0.0,0.0,1,7,7,1,-1,True,0,-1,0,-1,-0.023809523809523808,-0.11904761904761904,-0.125,0,-0.28571428571428603,-0.14285714285714302,-0.14285714285714302,-0.03809523809523809,-0.037414965986394544,-0.11904761904761904,0,0,0.9999609537692629,0.9999609537692629,0.9999609537692629,0.5751748251748252,0.9999609537692629,0.5751748251748252,0,0,0,0,,,,,0.8888888888888888
tensor(689),7,8,0.19047619047619047,0.16666666666666666,0.1,2.2857142857142856,1.1605769149479943,1.1428571428571428,0.6388765649999399,1.1428571428571428,1.124858267715973,0.04761904761904762,0.04994327848429293,0.2389455782312925,0.11755420585987982,0.16666666666666666,0.17817416127494962,2,6,5,3,-1,True,0,-1,7,7,0.16666666666666666,0.19047619047619047,0.25,2.0,1.0690449676496976,1.0,0.9258200997725514,1.0,1.0690449676496976,0.009523809523809523,0.015058465048420852,0.18253968253968253,0.1563310762189858,0.19047619047619047,0.18747637795266214,2,6,7,1,-1,True,0,-1,0,-1,-0.023809523809523808,0.023809523809523808,0.15,0,-0.2857142857142856,-0.1428571428571428,-0.1428571428571428,-0.0380952380952381,-0.056405895691609975,0.023809523809523808,0,0,0.9999609537692629,0.9999609537692629,0.9999609537692629,0.5751748251748252,0.5751748251748252,0.9999609537692629,0,0,2,-2,,,,,0.07142857142857142
tensor(314),7,9,0.21428571428571427,0.16666666666666669,0.16666666666666666,2.5714285714285716,0.4948716593053935,1.2857142857142858,0.6998542122237652,1.2857142857142858,0.6998542122237652,0.06666666666666667,0.06842908506285675,0.26029856386999245,0.15551024293259155,0.16666666666666666,0.2182178902359924,1,7,6,2,-1,True,0,-1,7,9,0.21428571428571427,0.0,0.0,2.5714285714285716,1.049781318335648,1.2857142857142858,1.0301575072754257,1.2857142857142858,0.6998542122237652,0.06190476190476191,0.06998542122237653,0.2920918367346939,0.22389877234433464,0.0,0.0,1,7,6,2,-1,True,0,-1,0,0,0.0,-0.16666666666666669,-0.16666666666666666,0,0.0,0.0,0.0,-0.004761904761904759,0.03179327286470146,-0.16666666666666666,0,0,0.9627039627039629,0.9999609537692629,1.0,0.9999609537692629,0.9627039627039629,0.5751748251748252,0,0,0,0,,,,,0.5
tensor(310),7,9,0.21428571428571427,0.11904761904761904,0.16666666666666666,2.5714285714285716,1.1780301787479028,1.2857142857142858,1.0301575072754257,1.2857142857142858,1.1605769149479943,0.02380952380952381,0.02796985743921603,0.2488095238095238,0.1950888253740851,0.11904761904761904,0.11664236870396086,2,6,7,1,-1,True,0,-1,7,9,0.21428571428571427,0.10317460317460317,0.125,2.5714285714285716,1.3997084244475304,1.2857142857142858,1.2777531299998799,1.2857142857142858,0.880630571852711,0.08571428571428572,0.08702698515474792,0.2916666666666667,0.23370624018613637,0.10317460317460317,0.1716929178792376,2,6,4,4,-1,True,0,-1,0,0,0.0,-0.015873015873015872,-0.04166666666666666,0,0.0,0.0,0.0,0.06190476190476191,0.04285714285714287,-0.015873015873015872,0,0,0.9999609537692629,0.9999609537692629,0.9627039627039629,0.5751748251748252,0.9999609537692629,0.9627039627039629,0,0,-3,3,,,,,0.5
tensor(361),7,8,0.19047619047619047,0.16666666666666666,0.3333333333333333,2.2857142857142856,1.1605769149479943,1.1428571428571428,0.8329931278350429,1.1428571428571428,0.8329931278350429,0.03809523809523809,0.04151332327181594,0.2470238095238095,0.18312642932041856,0.16666666666666666,0.17817416127494962,2,6,7,1,-1,True,0,-1,7,8,0.19047619047619047,0.16666666666666666,0.3333333333333333,2.2857142857142856,1.1605769149479943,1.1428571428571428,1.3552618543578767,1.1428571428571428,0.8329931278350429,0.009523809523809523,0.01749635530559413,0.20039682539682538,0.23824400114511313,0.16666666666666666,0.17817416127494962,2,6,7,1,-1,True,0,-1,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.028571428571428567,-0.04662698412698413,0.0,0,0,1.0,0.9999609537692629,1.0,0.5751748251748252,0.9627039627039629,1.0,0,0,0,0,,,,,0.3333333333333333
tensor(479),7,11,0.2619047619047619,0.2738095238095238,0.5,3.142857142857143,1.1248582677159729,1.5714285714285714,1.2936264483053452,1.5714285714285714,0.7284313590846836,0.03809523809523809,0.02629847861235062,0.3079365079365079,0.2585207059490283,0.2738095238095238,0.141381265136224,1,7,6,2,-1,True,0,-1,7,13,0.30952380952380953,0.25396825396825395,0.2857142857142857,3.7142857142857144,1.1605769149479945,1.8571428571428572,1.355261854357877,1.8571428571428572,0.6388765649999398,0.1142857142857143,0.1074334683112236,0.40581323438466294,0.26534287967970654,0.25396825396825395,0.13921277428114728,1,7,3,5,-1,True,0,-1,0,2,0.047619047619047616,-0.019841269841269826,-0.2142857142857143,0,0.5714285714285716,0.2857142857142858,0.2857142857142858,0.0761904761904762,0.09787672644815504,-0.019841269841269826,0,0,0.9627039627039629,0.9627039627039629,0.9627039627039629,0.5751748251748252,0.9627039627039629,0.9627039627039629,0,0,-3,3,,,,,0.7142857142857143
tensor(110),7,10,0.23809523809523808,0.34523809523809523,0.5,2.857142857142857,1.456862718169367,1.4285714285714286,1.4982983545287878,1.4285714285714286,1.049781318335648,0.014285714285714285,0.028769157079987073,0.25793650793650796,0.2650722363835672,0.34523809523809523,0.1691984571851416,2,6,7,1,-1,True,0,-1,7,10,0.23809523809523808,0.25952380952380955,0.42857142857142855,2.857142857142857,1.6413036132965795,1.4285714285714286,1.049781318335648,1.4285714285714286,1.178030178747903,0.03333333333333333,0.04483951394230329,0.2845238095238095,0.190572892119746,0.2595238095238095,0.17858730088189692,2,6,6,2,-1,True,0,-1,0,0,0.0,-0.08571428571428569,-0.07142857142857145,0,0.0,0.0,0.0,0.01904761904761905,0.02658730158730155,-0.08571428571428574,0,0,0.9999609537692629,0.9999609537692629,0.9999609537692629,0.5751748251748252,0.9627039627039629,0.9627039627039629,0,0,-1,1,,,,,0.3333333333333333
tensor(989),7,8,0.19047619047619047,0.19523809523809524,0.16666666666666666,2.2857142857142856,1.6659862556700857,1.1428571428571428,0.989743318610787,1.1428571428571428,0.8329931278350429,0.08095238095238096,0.10481600334788162,0.2905449048306191,0.1954691738391621,0.19523809523809524,0.2073480100674023,2,6,4,4,-1,True,0,-1,7,10,0.23809523809523808,0.20634920634920634,0.3,2.857142857142857,2.0303814862216996,1.4285714285714286,1.178030178747903,1.4285714285714286,0.9035079029052512,0.09047619047619049,0.10535546138017898,0.3526978973407545,0.23786971460071474,0.20634920634920634,0.2093794596551257,2,6,3,5,-1,True,0,-1,0,2,0.047619047619047616,0.0111111111111111,0.13333333333333333,0,0.5714285714285716,0.2857142857142858,0.2857142857142858,0.009523809523809532,0.062152992510135396,0.0111111111111111,0,0,0.9999609537692629,0.9999609537692629,0.9999609537692629,0.9999609537692629,0.9627039627039629,0.9999609537692629,0,0,-1,1,,,,,0.8
