graph_id,gt_num_nodes,gt_num_edges,gt_density,gt_avg_clustering,gt_transitivity,gt_degree_mean,gt_degree_std,gt_in_degree_mean,gt_in_degree_std,gt_out_degree_mean,gt_out_degree_std,gt_betweenness_mean,gt_betweenness_std,gt_closeness_mean,gt_closeness_std,gt_local_clustering_mean,gt_local_clustering_std,gt_num_weakly_connected_components,gt_largest_weakly_connected_component_size,gt_num_strongly_connected_components,gt_largest_strongly_connected_component_size,gt_diameter_lcc,gt_calculated_diameter_on_lcc,pred_num_nodes,pred_num_edges,pred_density,pred_avg_clustering,pred_transitivity,pred_degree_mean,pred_degree_std,pred_in_degree_mean,pred_in_degree_std,pred_out_degree_mean,pred_out_degree_std,pred_betweenness_mean,pred_betweenness_std,pred_closeness_mean,pred_closeness_std,pred_local_clustering_mean,pred_local_clustering_std,pred_num_weakly_connected_components,pred_largest_weakly_connected_component_size,pred_num_strongly_connected_components,pred_largest_strongly_connected_component_size,pred_diameter_lcc,pred_calculated_diameter_on_lcc,diff_num_nodes,diff_num_edges,diff_density,diff_avg_clustering,diff_transitivity,diff_diameter_lcc,diff_degree_mean,diff_in_degree_mean,diff_out_degree_mean,diff_betweenness_mean,diff_closeness_mean,diff_local_clustering_mean,ks_degree_pvalue,ks_in_degree_pvalue,ks_out_degree_pvalue,ks_betweenness_pvalue,ks_closeness_pvalue,ks_local_clustering_pvalue,diff_num_wcc,diff_largest_wcc_size,diff_num_scc,diff_largest_scc_size,edge_jaccard
tensor(209),7,11,0.2619047619047619,0.2650793650793651,0.3,3.142857142857143,1.2453996981544782,1.5714285714285714,0.7284313590846836,1.5714285714285714,0.7284313590846836,0.19523809523809527,0.14738845276706822,0.40956102720808607,0.17786939601326837,0.2650793650793651,0.14516651892284035,1,7,2,6,-1,True,7,20,0.47619047619047616,0.5476190476190476,0.6521739130434783,5.714285714285714,2.249716535431946,2.857142857142857,1.124858267715973,2.857142857142857,1.124858267715973,0.1619047619047619,0.18808016817268094,0.5807609057609058,0.12045727986279733,0.5476190476190476,0.38539081086282484,1,7,1,7,4,True,0,9,0.21428571428571425,0.2825396825396825,0.3521739130434783,5,2.5714285714285716,1.2857142857142858,1.2857142857142858,-0.033333333333333354,0.1711998785528197,0.2825396825396825,0.21212121212121213,0.21212121212121213,0.5751748251748252,0.5751748251748252,0.21212121212121213,0.21212121212121213,0,0,-1,1,0.47619047619047616
tensor(604),7,4,0.09523809523809523,0.0,0.0,1.1428571428571428,0.8329931278350428,0.5714285714285714,0.4948716593053935,0.5714285714285714,1.049781318335648,0.0,0.0,0.09523809523809523,0.08247860988423225,0.0,0.0,3,4,7,1,-1,True,7,6,0.14285714285714285,0.0,0.0,1.7142857142857142,1.2777531299998797,0.8571428571428571,0.6388765649999398,0.8571428571428571,0.6388765649999398,0.009523809523809523,0.023328473740792173,0.15873015873015875,0.11279897145676107,0.0,0.0,4,3,4,3,2,True,0,2,0.047619047619047616,0.0,0.0,3,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.009523809523809523,0.06349206349206352,0.0,0.21212121212121213,0.9999609537692629,0.5751748251748252,0.9999609537692629,0.5751748251748252,1.0,1,-1,-3,2,0.42857142857142855
tensor(692),7,8,0.19047619047619047,0.16666666666666669,0.2,2.2857142857142856,1.577908716741037,1.1428571428571428,0.989743318610787,1.1428571428571428,1.1248582677159729,0.04761904761904762,0.04994327848429293,0.2492063492063492,0.1803980649263625,0.16666666666666666,0.17457431218879393,3,5,4,4,-1,True,7,16,0.38095238095238093,0.619047619047619,0.7894736842105263,4.571428571428571,3.1558174334820746,2.2857142857142856,1.5779087167410373,2.2857142857142856,1.5779087167410373,0.019047619047619046,0.030116930096841705,0.4063492063492063,0.2671197964185731,0.619047619047619,0.4151332327181594,3,5,3,5,2,True,0,8,0.19047619047619047,0.4523809523809523,0.5894736842105264,3,2.2857142857142856,1.1428571428571428,1.1428571428571428,-0.028571428571428577,0.15714285714285708,0.45238095238095233,0.21212121212121213,0.5751748251748252,0.5751748251748252,0.9627039627039629,0.21212121212121213,0.05303030303030303,0,0,-1,1,0.5
tensor(662),7,12,0.2857142857142857,0.26825396825396824,0.3333333333333333,3.4285714285714284,1.178030178747903,1.7142857142857142,0.880630571852711,1.7142857142857142,0.6998542122237652,0.1904761904761905,0.1344763928232661,0.413871842443271,0.18055482734047673,0.26825396825396824,0.14259234718397273,1,7,2,6,-1,True,7,21,0.5,0.5595238095238095,0.5769230769230769,6.0,2.0701966780270626,3.0,0.9258200997725514,3.0,1.1952286093343936,0.13809523809523808,0.14055911820030267,0.6119047619047618,0.10028304613644136,0.5595238095238095,0.3044455202986767,1,7,1,7,4,True,0,9,0.2142857142857143,0.2912698412698413,0.24358974358974356,5,2.5714285714285716,1.2857142857142858,1.2857142857142858,-0.05238095238095242,0.19803291946149082,0.2912698412698413,0.05303030303030303,0.05303030303030303,0.21212121212121213,0.5751748251748252,0.05303030303030303,0.21212121212121213,0,0,-1,1,0.5714285714285714
tensor(866),7,8,0.19047619047619047,0.21428571428571427,0.4,2.2857142857142856,1.4846149779161806,1.1428571428571428,1.3552618543578767,1.1428571428571428,1.124858267715973,0.009523809523809523,0.023328473740792173,0.20952380952380953,0.22867061340081843,0.21428571428571427,0.2082482819587607,2,6,7,1,-1,True,7,15,0.35714285714285715,0.3174603174603175,0.46153846153846156,4.285714285714286,2.5475077857324298,2.142857142857143,1.456862718169367,2.142857142857143,1.1248582677159729,0.12857142857142856,0.1796633283801284,0.5128205128205129,0.24041208634240857,0.3174603174603174,0.3584631679567052,1,7,2,6,-1,True,0,7,0.16666666666666669,0.10317460317460322,0.06153846153846154,0,2.0,1.0,1.0,0.11904761904761904,0.30329670329670333,0.10317460317460311,0.5751748251748252,0.9627039627039629,0.5751748251748252,0.5751748251748252,0.05303030303030303,0.9627039627039629,-1,1,-5,5,0.4375
tensor(70),7,6,0.14285714285714285,0.0,0.0,1.7142857142857142,1.2777531299998797,0.8571428571428571,0.9897433186107869,0.8571428571428571,0.6388765649999398,0.06190476190476191,0.07648751621051911,0.1934065934065934,0.19428220594736242,0.0,0.0,2,6,6,2,-1,True,7,10,0.23809523809523808,0.0,0.0,2.857142857142857,1.8070158058105026,1.4285714285714286,0.9035079029052513,1.4285714285714286,0.9035079029052513,0.15238095238095237,0.19424836242258228,0.3629967915682202,0.17301870200092828,0.0,0.0,2,6,2,6,4,True,0,4,0.09523809523809523,0.0,0.0,5,1.142857142857143,0.5714285714285715,0.5714285714285715,0.09047619047619046,0.16959019816162677,0.0,0.5751748251748252,0.9627039627039629,0.9627039627039629,0.5751748251748252,0.5751748251748252,1.0,0,0,-4,4,0.45454545454545453
tensor(543),7,11,0.2619047619047619,0.28095238095238095,0.16666666666666666,3.142857142857143,1.355261854357877,1.5714285714285714,0.7284313590846836,1.5714285714285714,0.9035079029052513,0.1285714285714286,0.10224243120754233,0.40001202501202504,0.1706682054438015,0.28095238095238095,0.33278867066011714,1,7,3,5,-1,True,7,22,0.5238095238095238,0.5952380952380952,0.6206896551724138,6.285714285714286,2.4907993963089563,3.142857142857143,1.2453996981544782,3.142857142857143,1.2453996981544782,0.12380952380952381,0.13997084244475302,0.6449288806431663,0.1285879739828821,0.5952380952380951,0.3316282923139076,1,7,1,7,3,True,0,11,0.2619047619047619,0.3142857142857143,0.4540229885057472,4,3.142857142857143,1.5714285714285714,1.5714285714285714,-0.004761904761904773,0.2449168556311413,0.31428571428571417,0.05303030303030303,0.05303030303030303,0.21212121212121213,0.9627039627039629,0.008158508158508158,0.21212121212121213,0,0,-2,2,0.5
tensor(107),7,10,0.23809523809523808,0.26666666666666666,0.25,2.857142857142857,1.1248582677159729,1.4285714285714286,0.9035079029052513,1.4285714285714286,0.7284313590846835,0.1571428571428571,0.11644780248226175,0.3797122384307259,0.1769793252173533,0.26666666666666666,0.14800257398019098,1,7,3,5,-1,True,7,20,0.47619047619047616,0.5476190476190476,0.6521739130434783,5.714285714285714,2.2497165354319457,2.857142857142857,1.1248582677159729,2.857142857142857,1.1248582677159729,0.1619047619047619,0.18808016817268094,0.5807609057609058,0.12045727986279733,0.5476190476190476,0.3853908108628249,1,7,1,7,4,True,0,10,0.23809523809523808,0.2809523809523809,0.40217391304347827,5,2.857142857142857,1.4285714285714286,1.4285714285714286,0.0047619047619048005,0.2010486673301799,0.2809523809523809,0.05303030303030303,0.5751748251748252,0.21212121212121213,0.9627039627039629,0.21212121212121213,0.21212121212121213,0,0,-2,2,0.42857142857142855
tensor(493),7,5,0.11904761904761904,0.0,0.0,1.4285714285714286,0.7284313590846836,0.7142857142857143,0.6998542122237652,0.7142857142857143,0.8806305718527109,0.0047619047619047615,0.011664236870396087,0.12698412698412698,0.12140522651411392,0.0,0.0,2,6,7,1,-1,True,7,12,0.2857142857142857,0.23809523809523808,0.375,3.4285714285714284,2.0603150145508513,1.7142857142857142,1.0301575072754257,1.7142857142857142,1.0301575072754257,0.13333333333333333,0.15936381457791915,0.3871046281760568,0.18070771543155312,0.23809523809523808,0.34338583575847514,2,6,2,6,4,True,0,7,0.16666666666666666,0.23809523809523808,0.375,5,1.9999999999999998,0.9999999999999999,0.9999999999999999,0.12857142857142856,0.2601205011919298,0.23809523809523808,0.21212121212121213,0.5751748251748252,0.5751748251748252,0.5751748251748252,0.05303030303030303,0.5751748251748252,0,0,-5,5,0.4166666666666667
tensor(590),7,10,0.23809523809523808,0.09761904761904762,0.08333333333333333,2.857142857142857,1.3552618543578767,1.4285714285714286,1.3997084244475304,1.4285714285714286,1.0497813183356477,0.023809523809523805,0.034338583575847514,0.27380952380952384,0.28422229491222195,0.09761904761904762,0.16913143462074326,1,7,6,2,-1,True,7,20,0.47619047619047616,0.47619047619047616,0.5,5.714285714285714,2.4907993963089567,2.857142857142857,1.2453996981544784,2.857142857142857,1.2453996981544784,0.047619047619047616,0.05450249115361713,0.5385487528344671,0.22408430131578652,0.47619047619047616,0.24281045302822785,2,6,2,6,2,True,0,10,0.23809523809523808,0.37857142857142856,0.4166666666666667,3,2.857142857142857,1.4285714285714286,1.4285714285714286,0.02380952380952381,0.2647392290249433,0.37857142857142856,0.008158508158508158,0.21212121212121213,0.05303030303030303,0.21212121212121213,0.21212121212121213,0.05303030303030303,1,-1,-4,4,0.36363636363636365
tensor(741),7,8,0.19047619047619047,0.19047619047619047,0.25,2.2857142857142856,1.577908716741037,1.1428571428571428,1.124858267715973,1.1428571428571428,0.6388765649999398,0.07619047619047618,0.10229786218543252,0.2702191987906274,0.24045682997013465,0.19047619047619047,0.20756661635907972,2,6,4,4,-1,True,7,12,0.2857142857142857,0.23809523809523808,0.375,3.4285714285714284,2.0603150145508513,1.7142857142857142,1.0301575072754257,1.7142857142857142,1.0301575072754257,0.13333333333333333,0.15936381457791915,0.38710462817605684,0.18070771543155312,0.23809523809523808,0.34338583575847514,2,6,2,6,4,True,0,4,0.09523809523809523,0.047619047619047616,0.125,5,1.1428571428571428,0.5714285714285714,0.5714285714285714,0.05714285714285715,0.11688542938542945,0.047619047619047616,0.5751748251748252,0.9627039627039629,0.9627039627039629,0.9627039627039629,0.9627039627039629,0.9999609537692629,0,0,-2,2,0.42857142857142855
tensor(292),7,8,0.19047619047619047,0.23809523809523808,0.16666666666666666,2.2857142857142856,1.0301575072754257,1.1428571428571428,0.9897433186107869,1.1428571428571428,0.8329931278350429,0.07142857142857142,0.07853534524986021,0.24742063492063493,0.1890878220815968,0.23809523809523808,0.1749635530559413,2,6,5,3,-1,True,7,12,0.2857142857142857,0.33333333333333337,0.375,3.4285714285714284,2.0603150145508513,1.7142857142857142,1.0301575072754257,1.7142857142857142,1.0301575072754257,0.12380952380952381,0.19656921371952663,0.39734075448361156,0.1842520751135617,0.3333333333333333,0.4364357804719848,2,6,2,6,3,True,0,4,0.09523809523809523,0.09523809523809529,0.20833333333333334,4,1.1428571428571428,0.5714285714285714,0.5714285714285714,0.05238095238095239,0.14992011956297663,0.09523809523809523,0.21212121212121213,0.9627039627039629,0.9627039627039629,0.9627039627039629,0.21212121212121213,0.5751748251748252,0,0,-3,3,0.42857142857142855
tensor(289),7,12,0.2857142857142857,0.3380952380952381,0.5,3.4285714285714284,1.178030178747903,1.7142857142857142,1.4846149779161804,1.7142857142857142,0.45175395145262565,0.13333333333333333,0.1365679085685713,0.38790376290376294,0.26370085773762464,0.33809523809523806,0.11152417551076542,1,7,3,5,-1,True,7,22,0.5238095238095238,0.5367063492063492,0.5689655172413793,6.285714285714286,2.4907993963089563,3.142857142857143,1.3552618543578767,3.142857142857143,1.2453996981544782,0.10952380952380954,0.13335695180079818,0.6670377241805812,0.11776714603246566,0.5367063492063492,0.30015782255828805,1,7,1,7,3,True,0,10,0.23809523809523814,0.19861111111111107,0.06896551724137934,4,2.857142857142857,1.4285714285714286,1.4285714285714286,-0.023809523809523794,0.2791339612768182,0.19861111111111113,0.21212121212121213,0.5751748251748252,0.05303030303030303,0.9999609537692629,0.21212121212121213,0.5751748251748252,0,0,-2,2,0.4166666666666667
tensor(652),7,6,0.14285714285714285,0.0,0.0,1.7142857142857142,0.880630571852711,0.8571428571428571,0.8329931278350429,0.8571428571428571,1.1248582677159729,0.0047619047619047615,0.011664236870396087,0.1488095238095238,0.14749418682576032,0.0,0.0,2,6,7,1,-1,True,7,12,0.2857142857142857,0.14285714285714285,0.3333333333333333,3.4285714285714284,2.3211538298959886,1.7142857142857142,1.1605769149479943,1.7142857142857142,1.1605769149479943,0.1142857142857143,0.1319657758147716,0.4174397031539889,0.197691896297842,0.14285714285714285,0.1649572197684645,2,6,2,6,3,True,0,6,0.14285714285714285,0.14285714285714285,0.3333333333333333,4,1.7142857142857142,0.8571428571428571,0.8571428571428571,0.10952380952380954,0.2686301793444651,0.14285714285714285,0.5751748251748252,0.5751748251748252,0.5751748251748252,0.5751748251748252,0.008158508158508158,0.5751748251748252,0,0,-5,5,0.2857142857142857
tensor(39),7,14,0.3333333333333333,0.13587301587301587,0.1,4.0,1.927248223318863,2.0,1.1952286093343936,2.0,0.9258200997725514,0.12380952380952383,0.15932823832687248,0.5081418581418582,0.22219083710864818,0.13587301587301587,0.1710118391537949,1,7,2,6,-1,True,7,24,0.5714285714285714,0.49523809523809526,0.45454545454545453,6.857142857142857,2.099562636671296,3.4285714285714284,1.049781318335648,3.4285714285714284,1.049781318335648,0.08571428571428572,0.09460104397302438,0.7105442176870748,0.08662457996245686,0.4952380952380952,0.2983704799584865,1,7,1,7,2,True,0,10,0.23809523809523808,0.3593650793650794,0.3545454545454545,3,2.8571428571428568,1.4285714285714284,1.4285714285714284,-0.03809523809523811,0.20240235954521657,0.35936507936507933,0.21212121212121213,0.5751748251748252,0.21212121212121213,0.9627039627039629,0.21212121212121213,0.21212121212121213,0,0,-1,1,0.5833333333333334
tensor(589),7,11,0.2619047619047619,0.14285714285714285,0.2,3.142857142857143,0.8329931278350429,1.5714285714285714,1.049781318335648,1.5714285714285714,0.7284313590846835,0.06190476190476191,0.04773794679943672,0.35569985569985574,0.2470673848245135,0.14285714285714285,0.11542094898610307,1,7,5,3,-1,True,7,19,0.4523809523809524,0.15873015873015875,0.16666666666666666,5.428571428571429,1.2936264483053455,2.7142857142857144,0.6998542122237652,2.7142857142857144,0.6998542122237652,0.11904761904761904,0.07593376063406343,0.6344155844155844,0.06917133944242093,0.15873015873015875,0.1691053631163692,1,7,1,7,3,True,0,8,0.19047619047619047,0.0158730158730159,-0.033333333333333354,4,2.285714285714286,1.142857142857143,1.142857142857143,0.057142857142857134,0.2787157287157287,0.0158730158730159,0.21212121212121213,0.21212121212121213,0.21212121212121213,0.21212121212121213,0.21212121212121213,0.9999609537692629,0,0,-4,4,0.42857142857142855
tensor(307),7,8,0.19047619047619047,0.10714285714285714,0.16666666666666666,2.2857142857142856,0.880630571852711,1.1428571428571428,0.9897433186107869,1.1428571428571428,0.8329931278350429,0.019047619047619046,0.028769157079987073,0.2251984126984127,0.19683399718793398,0.10714285714285714,0.1708654773143729,1,7,7,1,-1,True,7,18,0.42857142857142855,0.4095238095238095,0.3333333333333333,5.142857142857143,2.099562636671296,2.5714285714285716,1.049781318335648,2.5714285714285716,1.049781318335648,0.14285714285714285,0.22018339088946456,0.6013700585129157,0.11416236583641157,0.4095238095238095,0.43267873110859223,1,7,1,7,3,True,0,10,0.23809523809523808,0.30238095238095236,0.16666666666666666,4,2.8571428571428577,1.4285714285714288,1.4285714285714288,0.1238095238095238,0.376171645814503,0.30238095238095236,0.008158508158508158,0.05303030303030303,0.21212121212121213,0.5751748251748252,0.008158508158508158,0.5751748251748252,0,0,-6,6,0.4444444444444444
tensor(679),7,10,0.23809523809523808,0.21027568922305764,0.3,2.857142857142857,2.030381486221699,1.4285714285714286,1.2936264483053452,1.4285714285714286,0.9035079029052513,0.09523809523809525,0.14738845276706822,0.36528980278980283,0.24706243559283314,0.21027568922305764,0.24957498687248095,1,7,4,4,-1,True,7,14,0.3333333333333333,0.3333333333333333,0.46153846153846156,4.0,2.6186146828319083,2.0,1.3093073414159542,2.0,1.3093073414159542,0.09523809523809523,0.13265131692556303,0.44904830619116337,0.21070808199165458,0.33333333333333337,0.35634832254989923,2,6,2,6,3,True,0,4,0.09523809523809523,0.12305764411027567,0.16153846153846158,4,1.1428571428571428,0.5714285714285714,0.5714285714285714,-1.3877787807814457e-17,0.08375850340136054,0.12305764411027573,0.9627039627039629,0.9627039627039629,0.9627039627039629,0.9999609537692629,0.9627039627039629,0.9627039627039629,1,-1,-2,2,0.6
